car,move
F,-
F,-
E,-
B,+
B,+
B,+
A,-
A,-
F,-
F,-
X,-
X,-
G,-
G,-
G,-
X,-
B,-
B,-
E,+
E,+
E,+
E,+
B,+
B,+
X,+
F,+
F,+
F,+
F,+
A,-
X,-
B,-
B,-
B,-
D,-
D,-
D,-
G,+
G,+
G,+
D,-
B,+
B,+
B,+
A,+
A,+
A,+
X,+
X,+
X,+
B,-
B,-
B,-
D,+
F,-
F,-
F,-
D,-
B,+
B,+
B,+
F,-
X,-
X,-
G,-
G,-
X,-
B,-
B,-
B,-
E,-
E,-
E,-
H,-
H,-
H,-
C,+
C,+
C,+
G,+
G,+
E,-
H,-
B,+
B,+
B,+
X,+
X,+
X,+
X,+
