car,move
A,-
A,-
B,-
B,-
C,-
D,-
G,-
G,-
H,-
F,+
F,+
E,+
J,-
J,-
X,-
K,-
K,-
I,-
I,-
I,-
L,-
L,-
L,-
K,+
K,+
F,-
H,+
H,+
H,+
X,+
X,+
X,+
